an,4975,62,4886
ap,885692,7139,876372
ar,16799,56,16679
as,216672,1071,212745
br,258289,1449,252858
ch,20464,330,19868
ct,292612,3544,282145
dateymd,187875,187875,187875
dd,0,0,0
dl,631884,10732,618357
dn,3369,2,3314
ga,52262,753,50643
gj,254848,4359,243742
hp,56802,951,55037
hr,265964,2979,260800
jh,117455,1049,115142
jk,123108,1920,119760
ka,930668,11569,909702
kl,836883,3414,765752
la,9648,128,9416
ld,0,0,0
mh,1984768,50335,1881088
ml,13662,144,13301
mn,28809,365,28010
mp,250858,3747,240155
mz,4310,9,4212
nl,12002,82,11707
or,332949,1951,329088
pb,170191,5485,161967
py,38593,640,37655
rj,314682,2744,306320
sk,6038,130,5637
tg,290608,1574,285102
tn,829573,12251,811023
tr,33321,387,32867
tt,10542936,151537,10178864
un,0,0,0
up,595614,8558,577475
ut,94465,1602,89190
wb,564099,10026,546849
