an,314,0,171
ap,96280,1041,46301
ar,1158,3,505
as,32124,83,24041
br,38919,249,26308
ch,887,13,572
ct,7613,43,4944
dd,0,0,0
dl,130606,3827,114875
dn,952,2,565
ga,4861,35,3277
gj,55822,2326,40368
hp,2176,13,1199
hr,31332,392,24383
jh,8349,83,3704
jk,17920,312,9928
ka,96141,1887,35839
kl,19025,61,9299
la,1285,4,1063
ld,0,0,0
mh,375799,13655,213238
ml,702,5,135
mn,2233,0,1521
mp,27800,812,19132
mz,361,0,193
nl,1339,4,549
or,25389,174,16793
pb,13218,306,8810
py,2785,40,1639
rj,36430,624,25944
sk,558,1,148
tg,54059,463,41332
tn,213723,3494,156526
tr,3918,13,2362
tt,1435889,32826,918630
un,0,0,0
up,66988,1426,41641
ut,6104,63,3574
wb,58719,1372,37751
