an,5079,62,4967
ap,901971,7217,887434
ar,16842,56,16782
as,218307,1110,215445
br,265527,1576,262371
ch,26973,378,23677
ct,349187,4170,319488
dateymd,339450,339450,339450
dd,0,0,0
dl,662430,11027,642565
dn,3624,2,3416
ga,58039,830,55653
gj,307697,4518,290572
hp,63605,1035,59546
hr,290800,3155,277918
jh,124176,1113,120264
jk,130960,1994,126435
ka,997004,11978,956171
kl,1124584,4620,1094399
la,10157,130,9771
ld,723,1,675
mh,2812980,54648,2400727
ml,14036,150,13781
mn,29392,374,28957
mp,295511,3987,274429
mz,4473,11,4434
nl,12303,85,11980
or,340917,1974,337091
pb,239734,6868,209034
py,41466,682,39706
rj,333149,2818,321658
sk,6249,135,5957
tg,307372,1697,301227
tn,886673,12719,858075
tr,33489,389,33029
tt,12219950,162366,11472318
un,0,0,0
up,617194,8811,598535
ut,100411,1717,95338
wb,586916,10329,570811
