an,7543,129,7404
ap,1989034,13590,1956982
ar,50877,250,48265
as,577447,5456,562162
br,725367,9646,715423
ch,61983,810,61136
ct,1003493,13543,988410
dateymd,610264,610264,610264
dd,0,0,0
dl,1436932,25067,1411441
dn,10518,4,10531
ga,172236,3165,168111
gj,825123,10077,814848
hp,209175,3527,203135
hr,770147,9654,759821
jh,347454,5130,342145
jk,323041,4398,317352
ka,2924720,36310,2865342
kl,3629877,18233,3436156
la,20427,207,20193
ld,10272,51,10147
mh,6374837,134594,6170549
ml,70648,1202,64945
mn,106736,1681,98203
mp,791995,10515,781356
mz,46883,177,35597
nl,28889,588,26197
or,991329,6755,974694
pb,599749,16336,582873
py,121964,1802,119287
rj,953883,8954,944729
sk,28309,357,25283
tg,650651,3834,639422
tn,2583023,34427,2528177
tr,80811,767,77872
tt,32113132,429648,31290475
un,0,0,0
up,1708880,22778,1685572
ut,342506,7369,328692
wb,1536373,18265,1508023
