an,3640,52,3427
ap,617758,5302,530711
ar,7250,13,5280
as,155348,552,125540
br,166987,861,152956
ch,9796,116,6766
ct,84234,664,46081
dd,0,0,0
dl,242899,4945,205890
dn,2887,2,2652
ga,28022,342,21760
gj,121930,3304,102674
hp,11908,114,7458
hr,108952,1120,86149
jh,69835,615,55697
jk,62533,987,40265
ka,511346,7333,404842
kl,131025,519,92946
la,3708,49,2666
ld,0,0,0
mh,1188015,32215,857933
ml,4559,36,2483
mn,8722,55,6723
mp,103065,1944,79158
mz,1548,0,989
nl,5392,10,4150
or,175550,744,141657
pb,95529,2757,70373
py,22454,448,17203
rj,113124,1322,93795
sk,2355,28,1892
tg,168659,1025,137508
tn,536477,8751,481273
tr,21503,235,14142
tt,5397573,86189,4299724
un,0,0,0
up,348517,4953,276690
ut,40085,478,26981
wb,221961,4298,193014
