an,4892,62,4752
ap,879700,7085,868769
ar,16669,56,16401
as,215575,1034,211178
br,248668,1367,242244
ch,19266,313,18584
ct,271194,3227,252332
dateymd,141400,141400,141400
dd,0,0,0
dl,619618,10347,601268
dn,3350,2,3298
ga,50364,727,48637
gj,238204,4253,223014
hp,53392,882,47835
hr,259226,2847,251148
jh,113584,1014,110962
jk,119053,1853,113645
ka,912340,11449,886548
kl,721510,2891,655639
la,9309,125,8947
ld,0,0,0
mh,1906371,48968,1801700
ml,13280,135,12755
mn,27825,338,26030
mp,234331,3515,220051
mz,4141,8,4000
nl,11840,71,11294
or,327279,1899,322648
pb,164145,5243,153964
py,37843,629,36860
rj,301708,2642,287408
sk,5646,125,5017
tg,282472,1522,274833
tn,810080,12024,788742
tr,33199,380,32590
tt,10123281,146198,9692470
un,0,0,0
up,577642,8245,553019
ut,87940,1447,79896
wb,541625,9473,516462
