an,13,0,20
ap,5210,30,5509
ar,149,1,197
as,396,5,1227
br,1302,2,1217
ch,85,1,125
ct,2114,18,2117
dd,0,0,0
dl,2780,29,3057
dn,11,0,9
ga,432,8,426
gj,1181,9,1413
hp,164,2,190
hr,1065,7,1162
jh,574,3,766
jk,569,9,890
ka,9523,75,10107
kl,9347,25,8924
la,22,0,64
ld,0,0,0
mh,10792,305,10461
ml,139,1,97
mn,234,3,198
mp,1575,25,1985
mz,13,0,26
nl,70,0,49
or,2546,16,3342
pb,656,35,1098
py,308,4,337
rj,2144,14,2072
sk,39,1,104
tg,1717,5,2103
tn,5015,65,5005
tr,199,2,285
tt,67789,813,71565
un,0,0,0
up,3267,41,3417
ut,526,13,456
wb,3612,59,3110
