an,11,0,8
ap,667,9,914
ar,11,0,24
as,97,4,84
br,585,3,572
ch,101,2,60
ct,1229,12,702
dateymd,2020,2020,2020
dd,0,0,0
dl,2706,69,4622
dn,1,0,1
ga,112,1,131
gj,1455,17,1485
hp,553,11,520
hr,1498,24,1887
jh,92,7,134
jk,531,4,366
ka,1321,10,889
kl,4777,28,5217
la,53,0,81
ld,0,0,0
mh,4757,40,7486
ml,73,2,61
mn,216,7,193
mp,1455,11,1585
mz,21,0,17
nl,39,1,4
or,393,6,570
pb,802,10,623
py,35,0,62
rj,2089,20,2818
sk,26,0,6
tg,622,2,993
tn,1320,16,1398
tr,31,0,59
tt,33178,390,39078
un,0,0,0
up,1932,24,1993
ut,424,4,346
wb,3143,46,3167
