an,25,1,36
ap,12768,98,15612
ar,376,2,329
as,4178,61,4389
br,1158,46,2772
ch,134,3,361
ct,1792,40,3244
dateymd,2021,2021,2021
dd,0,0,0
dl,576,103,1287
dn,17,0,62
ga,706,22,1711
gj,1333,18,4098
hp,891,29,1292
hr,1171,78,2705
jh,532,11,1272
jk,1718,24,3391
ka,16387,463,21199
kl,19661,213,29708
la,91,1,140
ld,169,2,266
mh,15169,553,29270
ml,532,24,711
mn,729,14,622
mp,991,45,4113
mz,235,2,147
nl,218,27,94
or,8399,40,10594
pb,2214,99,4426
py,867,17,1393
rj,1276,65,6038
sk,250,3,136
tg,2384,17,2242
tn,25317,483,32263
tr,571,6,864
tt,134044,2898,211890
un,0,0,0
up,1283,115,4939
ut,1003,38,2778
wb,8923,135,17386
